Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Norway,NOR,10.0419
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Oman,OMN,0.194321051239967
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Pakistan,PAK,32.3776473999023
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Palau,PLW,0.928065724537298
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Panama,PAN,0.515441060066223
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Papua New Guinea,PNG,1.89567857189964
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Paraguay,PRY,2507.39965820313
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Peru,PER,1.74326360225677
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Philippines,PHL,18.9486045837402
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Poland,POL,1.732843
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Portugal,PRT,0.571416
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Puerto Rico,PRI,0.891701799348515
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Qatar,QAT,2.50381851196289
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Romania,ROU,1.59692807643701
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Russian Federation,RUS,24.192337
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Rwanda,RWA,311.476104736328
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Samoa,WSM,1.69706858154541
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,San Marino,SMR,0.689131267415546
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sao Tome and Principe,STP,9.73867988586426
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Saudi Arabia,SAU,1.63892018795013
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Senegal,SEN,244.65771484375
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Serbia,SRB,40.4551640812699
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Seychelles,SYC,7.81533241271973
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sierra Leone,SLE,1975.34399414063
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Singapore,SGP,0.878305554389954
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sint Maarten (Dutch part),SXM,1.48035085201263
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Slovak Republic,SVK,0.503194
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Slovenia,SVN,0.577106
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Solomon Islands,SLB,6.93529130193362
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Somalia,SOM,7916.91075177249
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Africa,ZAF,6.15909337997437
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Sudan,SSD,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Spain,ESP,0.642644
